,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
85,512,0.0,51813,1.147245300002396,"[0, 0, 0, 0, 0]",100,0.6000000000000001,8192
86,1024,0.0,101202,2.1146434000111185,"[0, 0, 0, 0, 0]",100,0.6000000000000001,8192
87,2048,0.0,101202,2.1146434000111185,"[0, 0, 0, 0, 0]",100,0.6000000000000001,8192
88,4096,0.0,101202,2.1146434000111185,"[0, 0, 0, 0, 0]",100,0.6000000000000001,8192
89,8192,0.0,101202,2.1146434000111185,"[0, 0, 0, 0, 0]",100,0.6000000000000001,8192
90,0,5.0,100,0.0005956999957561493,"[0, 1, 1, 0, 1]",100,0.7000000000000001,8192
91,1,0.0,202,0.02117629998247139,"[0, 0, 0, 0, 0]",100,0.7000000000000001,8192
92,2,0.0,303,0.04258409998146817,"[0, 0, 0, 0, 0]",100,0.7000000000000001,8192
93,4,0.0,505,0.06516829997417517,"[0, 0, 0, 0, 0]",100,0.7000000000000001,8192
94,8,0.0,909,0.09138030000030994,"[0, 0, 0, 0, 0]",100,0.7000000000000001,8192
95,16,0.0,1717,0.1235512999992352,"[0, 0, 0, 0, 0]",100,0.7000000000000001,8192
96,32,0.0,3333,0.17143399998894893,"[0, 0, 0, 0, 0]",100,0.7000000000000001,8192
97,64,0.0,6565,0.2520803999796044,"[0, 0, 0, 0, 0]",100,0.7000000000000001,8192
98,128,0.0,13029,0.3891894999833312,"[0, 0, 0, 0, 0]",100,0.7000000000000001,8192
99,256,0.0,25957,0.6473680999770295,"[0, 0, 0, 0, 0]",100,0.7000000000000001,8192
100,512,0.0,51813,1.16245329999947,"[0, 0, 0, 0, 0]",100,0.7000000000000001,8192
101,1024,0.0,101202,2.142269199975999,"[0, 0, 0, 0, 0]",100,0.7000000000000001,8192
102,2048,0.0,101202,2.142269199975999,"[0, 0, 0, 0, 0]",100,0.7000000000000001,8192
103,4096,0.0,101202,2.142269199975999,"[0, 0, 0, 0, 0]",100,0.7000000000000001,8192
